experiment,corpus,level,variant,dict_size,ratio,train_wall_s,note
E1_FIX,github_users,3,default_sweep_cand_16384,16384,9.889641,0.693,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=0.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_65536,65536,9.798805,0.150,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=0.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_112640,112640,9.939491,0.162,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=1.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_262144,262144,9.824019,0.160,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=1.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_524288,524288,9.460627,0.170,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=1.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_786432,786432,10.111437,0.174,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=1.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_1048576,1048576,10.167009,0.178,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=1.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_1310720,1310720,10.050161,0.195,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=1.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_1572864,1572864,10.050161,0.195,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=2.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_1835008,1650435,7.255325,0.213,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=2.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_cand_2097152,1650435,7.255325,0.227,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=41.6s; accumulated=2.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,3,default_sweep_winner,1048576,10.202290,0.178,"winner=default_1048576b (by val_ratio=10.167009); trainer=default(fastCOVER, --train); equal-compute budget=41.6s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,github_users,19,default_sweep_cand_16384,16384,9.955814,0.165,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=0.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_65536,65536,9.896841,0.161,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=0.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_112640,112640,10.008232,0.164,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=0.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_262144,262144,10.175195,0.164,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=0.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_524288,524288,10.132562,0.169,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=0.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_786432,786432,10.592524,0.178,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=1.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_1048576,1048576,10.664543,0.184,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=1.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,github_users,19,default_sweep_cand_1310720,1310720,10.825517,0.193,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1778.7s; accumulated=1.4s; evaluated on train-internal val split (seed=1729)"
